,family_history,know_resources,emp_mh_resources,mh_benefits,mh_with_coworkers,mh_with_supervisor,past_disorder,ph_or_mh_discuss,reveal_to_clients,mention_interview,share_with_f&f,num_employees,ever_diagnosed,identified,identifited_neg_consequences,medical_coverage,primarily_tech,primary_role_tech,self-employed,sought_treatment
1494,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1495,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1496,,,,,,,,,,,0,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1497,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1498,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1499,,,,,,,,,,,6,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1500,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1501,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1502,,,,,,,,,,,2,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1503,,,,,,,,,,,7,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1504,,,,,,,,,,,10,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1505,,,,,,,,,,,2,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1506,,,,,,,,,,,0,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1507,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1508,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1509,,,,,,,,,,,4,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1510,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1511,,,,,,,,,,,3,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1512,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1513,,,,,,,,,,,5,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1514,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1515,,,,,,,,,,,5,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1516,,,,,,,,,,,7,500-1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1517,,,,,,,,,,,8,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1518,,,,,,,,,,,10,26-100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1519,,,,,,,,,,,5,6-25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1520,,,,,,,,,,,9,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1521,,,,,,,,,,,3,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1522,,,,,,,,,,,10,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1523,,,,,,,,,,,2,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1524,,,,,,,,,,,10,More than 1000,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1525,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1526,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1527,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1528,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1529,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1530,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1531,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1532,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1533,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1534,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1535,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1536,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1537,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1538,,,,,,,,,,,6,100-500,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1539,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1540,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1541,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1542,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1543,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1544,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1545,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1546,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1547,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1548,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1549,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1550,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1551,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1552,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1553,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1554,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1555,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1556,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1557,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1558,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1559,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1560,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1561,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1562,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1563,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1564,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1565,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1566,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1567,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1568,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1569,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1570,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1571,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1572,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1573,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1574,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1575,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1576,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1577,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1578,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1579,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1580,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1581,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1582,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1583,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1584,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1585,,,,,,,,,,,6,100-500,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1586,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1587,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1588,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1589,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1590,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1591,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1592,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1593,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1594,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1595,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1596,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1597,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1598,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1599,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1600,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1601,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1602,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1603,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1604,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1605,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1606,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1607,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1608,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1609,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1610,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1611,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1612,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1613,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1614,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1615,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1616,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1617,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1618,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1619,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1620,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1621,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1622,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1623,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1624,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1625,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1626,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1627,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1628,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1629,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1630,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1631,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1632,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1633,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1634,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1635,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1636,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1637,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1638,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1639,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1640,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1641,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1642,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1643,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1644,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1645,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1646,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1647,,,,,,,,,,,6,100-500,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1648,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1649,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1650,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1651,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1652,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1653,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1654,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1655,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1656,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1657,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1658,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1659,,,,,,,,,,,6,100-500,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1660,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1661,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1662,,,,,,,,,,,6,100-500,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1663,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1664,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1665,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1666,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1667,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1668,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1669,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1670,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1671,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1672,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1673,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1674,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1675,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1676,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1677,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1678,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1679,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1680,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1681,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1682,,,,,,,,,,,6,100-500,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1683,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1684,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1685,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1686,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1687,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1688,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1689,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1690,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1691,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1692,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1693,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1694,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1695,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1696,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1697,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1698,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1699,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1700,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1701,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1702,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1703,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1704,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1705,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1706,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1707,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1708,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1709,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1710,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1711,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1712,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1713,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1714,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1715,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1716,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1717,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1718,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1719,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1720,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1721,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1722,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1723,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1724,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1725,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1726,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1727,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1728,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1729,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1730,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1731,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1732,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1733,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1734,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1735,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1736,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1737,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1738,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1739,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1740,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1741,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1742,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1743,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1744,,,,,,,,,,,6,100-500,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1745,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1746,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1747,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1748,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1749,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1750,,,,,,,,,,,6,100-500,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1751,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1752,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1753,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1754,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1755,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1756,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1757,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1758,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1759,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1760,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1761,,,,,,,,,,,6,100-500,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1762,,,,,,,,,,,6,100-500,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1763,,,,,,,,,,,6,100-500,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
